OBJECT_TO_CRAFT_ID   CRAFT_1_ID    CRAFT_1_QUANTITY   CRAFT_2_ID  CRAFT_2_QUANTITY
01                   05            03                 -1          -1
08                   05            02                 06          03
19                   16            02                 17          04
30                   27            03                 28          05
09                   05            03                 06          04
20                   16            03                 17          05
31                   27            03                 28          06
10                   05            02                 06          06
21                   16            02                 17          07
32                   27            02                 28          08
11                   06            10                 -1          -1
22                   17            12                 -1          -1
33                   28            16                 -1          -1
02                   05            03                 -1          -1
03                   05            03                 -1          -1
04                   05            03                 -1          -1
12                   05            02                 06          03
13                   05            02                 06          03
14                   05            02                 06          03
23                   16            02                 17          04
24                   16            02                 17          04
25                   16            02                 17          04
15                   07            02                 -1          -1
26                   18            02                 -1          -1
34                   29            02                 -1          -1
